Region,Country/Area,Year,Series,Value,Footnotes,Source
5,South America,1995,Changes in stocks (petajoules),-8,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2000,Changes in stocks (petajoules),-14,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2005,Changes in stocks (petajoules),-326,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2010,Changes in stocks (petajoules),-89,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2015,Changes in stocks (petajoules),84,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2017,Changes in stocks (petajoules),-607,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2018,Changes in stocks (petajoules),-211,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2019,Changes in stocks (petajoules),11,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,1995,Total supply (petajoules),"14,584",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2000,Total supply (petajoules),"16,750",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2005,Total supply (petajoules),"18,861",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2010,Total supply (petajoules),"22,131",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2015,Total supply (petajoules),"24,423",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2017,Total supply (petajoules),"24,037",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2018,Total supply (petajoules),"23,256",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2019,Total supply (petajoules),"23,278",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,1995,Supply per capita (gigajoules),45,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2000,Supply per capita (gigajoules),48,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2005,Supply per capita (gigajoules),51,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2010,Supply per capita (gigajoules),56,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2015,Supply per capita (gigajoules),59,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2017,Supply per capita (gigajoules),57,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2018,Supply per capita (gigajoules),55,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2019,Supply per capita (gigajoules),55,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,1995,Primary energy production (petajoules),"132,796",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2000,Primary energy production (petajoules),"149,154",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2005,Primary energy production (petajoules),"190,970",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2010,Primary energy production (petajoules),"234,830",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2015,Primary energy production (petajoules),"260,253",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2017,Primary energy production (petajoules),"267,395",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2018,Primary energy production (petajoules),"277,362",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2019,Primary energy production (petajoules),"281,061",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,611",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,616",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,497",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),185,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"8,349",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"11,655",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"13,594",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"18,334",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,1995,Changes in stocks (petajoules),671,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2000,Changes in stocks (petajoules),-714,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2005,Changes in stocks (petajoules),-368,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2010,Changes in stocks (petajoules),"1,662",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2015,Changes in stocks (petajoules),-7,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2017,Changes in stocks (petajoules),"-1,482",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2018,Changes in stocks (petajoules),"1,597",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2019,Changes in stocks (petajoules),"1,948",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,1995,Total supply (petajoules),"123,514",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2000,Total supply (petajoules),"140,251",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2005,Total supply (petajoules),"181,840",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2010,Total supply (petajoules),"233,353",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2015,Total supply (petajoules),"268,609",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2017,Total supply (petajoules),"280,531",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
142,Asia,2018,Total supply (petajoules),"289,358",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
